#k kmean modes P_0 P_2
0.005 0.0075339932 1011  28359.956 25242.315
0.015 0.016086952 6968  36916.997 19367.073
0.025 0.025670763 18980  35513.726 11970.117
0.035 0.035466009 36724  26242.616 10880.308
0.045 0.04536413 60972  20147.044 10089.435
0.055 0.055310352 90736  18977.82 7535.3568
0.065 0.065260601 126510  16204.382 7803.4546
0.075 0.075221008 168402  14486.431 4443.5056
0.085 0.085196781 216402  10921.313 3716.7891
0.095 0.095179989 270238  8801.8668 2514.8224
0.105 0.10515814 329502  7926.334 2462.7495
0.115 0.11514434 396164  6673.3257 1915.2926
0.125 0.12513587 467278  6141.508 421.50814
0.135 0.13512357 545194  5585.8441 1448.2613
0.145 0.14511191 628610  4807.6539 440.6641
0.155 0.15510555 719090  4288.7888 1052.6939
0.165 0.16510163 814302  3591.0237 342.94726
0.175 0.17509512 915914  3107.3814 606.04995
0.185 0.18508877 1023576  2514.2683 345.46434
0.195 0.19508459 1137412  2793.7428 591.37313
0.205 0.20508121 1256972  2031.8645 -237.95556
0.215 0.21507526 1381824  1700.2937 91.37879
0.225 0.22507306 1515106  1518.1041 212.50604
0.235 0.2350695 1650368  1618.0714 -320.13757
